Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0.5,20.41532081,-23.8030434,-3.387722595
0.55,18.55938255,-22.59703405,-4.037651493
0.6,17.01276733,-21.50711242,-4.494345089
0.65,15.70409294,-20.51826504,-4.814172096
0.7,14.58237201,-19.61769031,-5.035318301
0.75,13.61021387,-18.79440262,-5.184188746
0.8,12.7595755,-18.03906641,-5.27949091
0.85,12.00901224,-17.34379648,-5.334784243
0.9,11.3418449,-16.70194467,-5.360099769
0.95,10.74490569,-16.10784486,-5.362939167
1,10.20766041,-15.556733,-5.349072594
1.05,9.721581337,-15.04453407,-5.322952738
1.1,9.279691276,-14.56780409,-5.288112809
1.15,8.876226443,-14.12363739,-5.247410946
1.2,8.506383657,-13.70953091,-5.203147251
1.25,8.166128298,-13.32383111,-5.157702815
1.3,7.852046481,-12.9646769,-5.112630418
1.35,7.561229933,-12.63008131,-5.068851379
1.4,7.291185997,-12.31838978,-5.027203786
1.45,7.039765782,-12.02794074,-4.988174961
1.5,6.805106953,-11.757382,-4.952275051
1.55,6.585587369,-11.50527267,-4.919685304
1.6,6.379787752,-11.27021915,-4.890431402
1.65,6.186460841,-11.05100554,-4.8645447
1.7,6.004506111,-10.8463253,-4.84181919
1.75,5.832948813,-10.65496667,-4.82201786
1.8,5.670922449,-10.47580024,-4.804877789
1.85,5.517654266,-10.3078041,-4.790149829
1.9,5.372452839,-10.14995972,-4.777506879
1.95,5.234697654,-10.00148898,-4.766791325
2,5.103830206,-9.861462543,-4.757632338
2.05,4.979346542,-9.729254231,-4.749907689
2.1,4.860790666,-9.604190674,-4.743400007
2.15,4.747749017,-9.485585962,-4.737836945
2.2,4.639845642,-9.373077552,-4.73323191
2.25,4.53673796,-9.212334838,-4.675596878
2.3,4.438113219,-9.164182706,-4.726069487
2.35,4.343685272,-9.029357869,-4.685672597
2.4,4.253191846,-8.974246758,-4.721054912
2.45,4.166392007,-8.858775894,-4.692383887
2.5,4.083064162,-8.800644714,-4.717580552
