Distance (Angstrom),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-ov Electronic Energy (Hartree),AP1roGSDGeneralized_sen-ov Total Energy (Hartree)
0.5,33.81651208,-33.56400312,0.252508956
0.55,30.74228368,-31.84778578,-1.105502102
0.6,28.18042675,-30.29272652,-2.112299774
0.65,26.01270158,-28.87968096,-2.866979374
0.7,24.15465147,-27.58977217,-3.435120702
0.75,22.5443414,-26.40900274,-3.864661336
0.8,21.13532006,-25.32124849,-4.185928428
0.85,19.89206587,-24.31886732,-4.426801452
0.9,18.78695112,-23.39148116,-4.604530037
0.95,17.79816422,-22.53114466,-4.732980438
1,16.90825603,-21.73100453,-4.822748502
1.05,16.10310098,-20.98512934,-4.882028364
1.1,15.37114184,-20.28834853,-4.917206689
1.15,14.70283135,-19.6361732,-4.933341842
1.2,14.09021335,-19.02462675,-4.9344134
1.25,13.52660481,-18.45027856,-4.923673747
1.3,13.00635079,-17.91006541,-4.903714616
1.35,12.5246341,-17.40128631,-4.876652219
1.4,12.07732574,-16.92154736,-4.844221621
1.45,11.66086623,-16.46880552,-4.807939289
1.5,11.27217067,-16.04104394,-4.768873271
1.55,10.90855227,-15.63682663,-4.728274357
1.6,10.56766001,-15.25434554,-4.686685528
1.65,10.24742789,-14.89257286,-4.645144975
1.7,9.946032957,-14.54982753,-4.603794573
1.75,9.661860587,-14.22532537,-4.563464779
1.8,9.393475577,-13.90696999,-4.513494409
1.85,9.139597843,-13.62640248,-4.486804642
1.9,8.899082111,-13.34968626,-4.450604151
1.95,8.670900528,-13.08860824,-4.417707715
2,8.454128015,-12.84083536,-4.38670735
