File,Distance (Angstrom),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree),Counter
database/h10_sheet_0.55/sto-6g/APG1roSD_sen-ov/0/results.out,0.55,30.742283682423096,-31.852814126888468,-1.1105304444653719,159
database/h10_sheet_0.65/sto-6g/APG1roSD_sen-ov/0/results.out,0.65,26.012701584652664,-28.8843349863493,-2.871633401696638,108
database/h10_sheet_0.85/sto-6g/APG1roSD_sen-ov/0/results.out,0.85,19.89206586978314,-24.324901647083106,-4.432835777299967,61
database/h10_sheet_0.75/sto-6g/APG1roSD_sen-ov/0/results.out,0.75,22.544341401053007,-26.4147873377941,-3.870445936741092,209
database/h10_sheet_0.95/sto-6g/APG1roSD_sen-ov/0/results.out,0.95,17.798164221560388,-22.53803521964518,-4.739870998084793,91
database/h10_sheet_0.7/sto-6g/APG1roSD_sen-ov/0/results.out,0.7,24.154651465089813,-27.596274783088,-3.441623317998186,247
database/h10_sheet_0.8/sto-6g/APG1roSD_sen-ov/0/results.out,0.8,21.1353200577093,-25.326891327801928,-4.191571270092627,90
database/h10_sheet_0.9/sto-6g/APG1roSD_sen-ov/0/results.out,0.9,18.78695112483533,-23.39793269764675,-4.6109815728114185,54
database/h10_sheet_0.5/sto-6g/APG1roSD_sen-ov/0/results.out,0.5,33.81651207916593,-33.568491420785755,0.2480206583801774,183
database/h10_sheet_0.6/sto-6g/APG1roSD_sen-ov/0/results.out,0.6,28.18042674901547,-30.297065638214214,-2.116638889198743,68
database/h10_sheet_1.3/sto-6g/APG1roSD_sen-ov/0/results.out,1.3,13.006350792326332,-17.92153993453483,-4.915189142208499,47
database/h10_sheet_1.2/sto-6g/APG1roSD_sen-ov/0/results.out,1.2,14.09021334850348,-19.034356716729498,-4.944143368226017,47
database/h10_sheet_1.0/sto-6g/APG1roSD_sen-ov/0/results.out,1.0,16.90825603015657,-21.738365539420638,-4.830109509264069,62
database/h10_sheet_1.1/sto-6g/APG1roSD_sen-ov/0/results.out,1.1,15.371141840424047,-20.29676176482141,-4.925619924397365,43
database/h10_sheet_1.4/sto-6g/APG1roSD_sen-ov/0/results.out,1.4,12.077325742968352,-16.93567198964392,-4.85834624667557,35
database/h10_sheet_1.5/sto-6g/APG1roSD_sen-ov/0/results.out,1.5,11.272170671921842,-16.059588302836442,-4.7874176309146,45
database/h10_sheet_1.05/sto-6g/APG1roSD_sen-ov/0/results.out,1.05,16.103100978683162,-20.99298706701651,-4.889886088333348,48
database/h10_sheet_1.25/sto-6g/APG1roSD_sen-ov/0/results.out,1.25,13.526604811163581,-18.46081883735125,-4.93421402618767,33
database/h10_sheet_1.45/sto-6g/APG1roSD_sen-ov/0/results.out,1.45,11.660866233745393,-16.48478969532662,-4.823923461581225,31
database/h10_sheet_1.35/sto-6g/APG1roSD_sen-ov/0/results.out,1.35,12.524634095617674,-17.413931512125952,-4.889297416508278,34
database/h10_sheet_1.15/sto-6g/APG1roSD_sen-ov/0/results.out,1.15,14.702831354609115,-19.64521231581321,-4.942380961204096,45
database/h10_sheet_1.55/sto-6g/APG1roSD_sen-ov/0/results.out,1.55,10.90855227004325,-15.658509251528784,-4.749956981485534,35
database/h10_sheet_1.9/sto-6g/APG1roSD_sen-ov/0/results.out,1.9,8.89908211052348,-13.430782395172153,-4.531700284648673,66
database/h10_sheet_1.8/sto-6g/APG1roSD_sen-ov/0/results.out,1.8,9.393475576548527,-13.972938113326666,-4.57946253677814,60
database/h10_sheet_1.95/sto-6g/APG1roSD_sen-ov/0/results.out,1.95,8.67090052821755,-13.182528065037785,-4.511627536820235,78
database/h10_sheet_1.85/sto-6g/APG1roSD_sen-ov/0/results.out,1.85,9.139597843318644,-13.693777647410302,-4.554179804091659,72
database/h10_sheet_2.0/sto-6g/APG1roSD_sen-ov/0/results.out,2.0,8.45412801469474,-13.019632308414502,-4.565504293719762,303
database/h10_sheet_1.75/sto-6g/APG1roSD_sen-ov/0/results.out,1.75,9.661860586589004,-14.271135995148962,-4.609275408559958,46
database/h10_sheet_1.65/sto-6g/APG1roSD_sen-ov/0/results.out,1.65,10.24742788952887,-14.923704573652714,-4.6762766841238435,46
database/h10_sheet_1.6/sto-6g/APG1roSD_sen-ov/0/results.out,1.6,10.56766001133228,-15.280342437989312,-4.712682426657032,43
database/h10_sheet_1.7/sto-6g/APG1roSD_sen-ov/0/results.out,1.7,9.94603295716163,-14.58781638916294,-4.64178343200131,55
