Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0.5,13.45641601,-17.14252671,-3.686110701
0.6,12.64721349,-16.44206367,-3.794850183
0.7,12.01943591,-15.82425871,-3.804822806
0.8,11.50619472,-15.38739737,-3.881202651
0.9,11.0714545,-15.0419921,-3.970537605
1,10.69417965,-14.69883952,-4.004659874
1.1,10.3612193,-14.38740573,-4.026186433
1.2,10.06383266,-14.0626431,-3.998810438
1.3,9.795881993,-13.76591443,-3.970032437
1.4,9.552844548,-13.49994719,-3.947102638
1.5,9.331248612,-13.25368914,-3.922440524
1.6,9.12833857,-13.03883042,-3.910491847
1.7,8.941868184,-12.84048539,-3.898617206
1.8,8.769967997,-12.66639341,-3.896425416
1.9,8.611056945,-12.50406414,-3.89300719
2,8.463781185,-12.26403115,-3.800249965
2.25,8.139179221,-11.99466848,-3.855489255
2.5,7.865751992,-11.66636566,-3.800613667
3,7.43234404,-11.28364292,-3.851298884
4,6.852216935,-10.74513369,-3.892916759
