Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0,3.618341332,-5.625017007,-2.006675675
0.1,3.564347113,-5.57121115,-2.006864038
0.2,3.440692861,-5.42889424,-1.988201379
0.25,3.374656611,-5.336996078,-1.962339467
0.3,3.314988366,-5.237816366,-1.922828
0.35,3.265810548,-5.13522963,-1.869419082
0.4,3.229518888,-5.032357915,-1.802839028
0.45,3.207368421,-4.932672685,-1.725304264
0.5,3.199931218,-4.895471926,-1.695540707
