Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0,4.511844635,-5.865682232,-1.353837597
0.005,4.477315124,-5.848287915,-1.37097279
0.01,4.444503726,-5.83208426,-1.387580534
0.02,4.383525993,-5.804049825,-1.420523832
0.05,4.230648047,-5.766850009,-1.536201962
0.1,4.045084971,-5.750894391,-1.70580942
0.15,3.914118274,-5.734031981,-1.819913708
0.2,3.81831316,-5.715239194,-1.896926034
0.25,3.747171465,-5.69628257,-1.949111105
0.3,3.694523535,-5.678938259,-1.984414725
0.4,3.630868035,-5.653729912,-2.022861877
0.5,3.611111111,-5.644903014,-2.033791903
