Alpha (Bohr),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0,3.383883476,-5.043623319,-1.659739842
0.005,3.357986347,-5.118884814,-1.760898467
0.01,3.333377787,-5.106390659,-1.773012872
0.02,3.287644484,-5.089406118,-1.801761634
0.05,3.172986045,-5.060554917,-1.887568872
0.1,3.033813726,-5.02707186,-1.993258134
0.15,2.935588705,-4.996525804,-2.060937098
0.2,2.86373487,-4.967723897,-2.103989027
0.25,2.810378602,-4.94189273,-2.131514128
0.3,2.770892648,-4.920117217,-2.149224569
0.4,2.723151023,-4.890691964,-2.167540941
0.5,2.708333333,-4.880891227,-2.172557894
